review_text,label,source,paper_id,standardized_structure,predictable_criticism,excessive_balance,linguistic_homogeneity,generic_domain_language,conceptual_feedback,absence_personal_signals,repetition_patterns
"This paper tackles an interesting and practically relevant problem — learning reduced-order dynamics that remain physically consistent — and the geometric/Riemannian framing is genuinely novel enough to warrant attention. I'll say upfront that I found the paper technically dense in places, which made reviewing it harder than it should have been.

The core idea of jointly learning a nonlinear structure-preserving latent space and low-dimensional Lagrangian dynamics on a Riemannian manifold is appealing. The connection to model-order reduction literature is appropriate and the authors seem aware of the relevant prior work (Lutter et al., Cranmer et al., etc.). The experiments on both rigid and deformable systems are a reasonable scope for a paper like this.

That said, I have several concerns. First, the ablation story feels incomplete to me. Table 2 shows various configurations but I found it hard to disentangle how much of the improvement comes from the Riemannian structure versus simply having a bottleneck latent space with physics constraints. This is kind of the central question of the paper and I don't think it's answered convincingly. I might be wrong but the baseline comparisons in Section 4 seem somewhat cherry-picked — I'd want to see a comparison against a vanilla autoencoder + Lagrangian network that doesn't use the geometric structure at all.

The notation around equation (7) is where I got genuinely lost. The paper introduces the retraction map somewhat informally and then relies heavily on it throughout Section 3.2. After reading this twice I still wasn't totally sure how the authors handle the numerical integration on the manifold during training — is the retraction being used inside the ODE solver or only at the output? This needs clarification.

Figure 3 is nice and I think it does a good job conveying the latent space structure intuitively. More of this please.

On the deformable body experiments — these results look good but the comparison methods feel a bit dated. What about more recent neural ODE variants or specifically physics-informed approaches from 2022-2023? In my experience, deformable body simulation is where these kinds of methods can really shine but also where they most commonly fail to generalize, and I'd want to see longer rollout horizons tested.

The data efficiency claims in the abstract are repeated prominently but quantitatively I found them somewhat modest in practice. The difference in Figure 5 between their method and baselines at low data regimes is real but not as dramatic as the framing suggests.

Minor things: the paper is a bit over-written in places (the intro in particular), some figures have tiny axis labels, and there's a missing citation around line 234 that should probably reference Marsden and Ratiu.

Overall I'm leaning weak accept. The idea is solid, the execution is mostly there, but the paper needs to tighten up the ablations and clarify the manifold integration details before I'd feel fully comfortable recommending acceptance.",1,adversarial_bedrock_claude,RoN6M3i7gJ,0.1,0.2,0.3,0.3,0.2,0.35,0.05,0.1
"This paper attempts to characterize the expressive power of ReLU networks in terms of properties of the underlying data manifold, combining both topological and geometric considerations. The core idea is interesting and I appreciate the attempt to go beyond purely geometric analyses, but I have significant concerns about the execution and novelty.

Let me start with what I think works. The integration of topological invariants (I'm assuming Betti numbers or something related — the abstract is frustratingly vague) with geometric quantities like curvature or reach to bound network size is a direction worth pursuing. In my experience, most prior work either focuses exclusively on dimension or on geometric complexity, so there's genuine motivation here.

That said, I found the abstract almost content-free. After reading it twice, I still don't know what the actual bound looks like. What topological quantity are you using? What geometric quantity? What does the bound scale with? A good abstract should give me at least a rough sense of the main theorem. This one doesn't.

My bigger concern is about the upper bound framing. The paper promises ""a size upper bound of ReLU neural networks"" — but upper bounds on network size for approximating functions on manifolds are, frankly, not that hard to obtain if you're willing to be loose. The interesting question is whether the bound is tight, whether it improves on existing results (e.g., work by Shaham et al., or the line of work following Barron, or more recent results on manifold-adapted approximation), and whether topology is doing real work in the bound or just appearing as a term that could be dominated by geometric factors. I don't see convincing evidence from the abstract that any of these questions are addressed satisfactorily.

I'm also a bit skeptical about the practical implications. The paper seems to position this as relevant to ""deploying neural networks on data manifolds"" but an upper bound on network size, even a tight one, rarely translates directly to architectural choices practitioners make. I might be wrong about this — maybe the authors have a clever application — but the abstract gives me no reason to believe it.

On presentation: whoever wrote ""it's essential to recognize that topology, too, is a fundamental characteristic of manifolds"" — yes, obviously, but this reads like padding. The writing needs tightening throughout, based on what I can see even just in the abstract.

I can't give a full evaluation without seeing the actual theorems and proofs, but based on what's presented here the burden of proof is high. The authors need to clearly differentiate from prior work on manifold complexity and neural approximation, and demonstrate that the topological component of their bound is non-trivial and sharp. Without that, this risks being a technically correct but incremental paper dressed up in topological language.

Leaning toward rejection in current form, but genuinely open to being convinced otherwise.",1,adversarial_bedrock_claude,L7gyAKWpiM,0.05,0.15,0.2,0.25,0.15,0.55,0.05,0.1
"This paper tackles an interesting problem — that fine-tuned LLMs tend to assign higher scores to lower-quality chain-of-thought reasoning paths, which the authors call ""Assessment Misalignment."" The core technical contribution is a Constrained Alignment Loss with two components: an alignment term that pushes high-quality COT scores above subpar ones, and a constraint term that keeps subpar scores within a reasonable range. I think the motivation is clear and the problem is real, though I'm not entirely sure the paper fully justifies why this specific formulation is the right solution versus alternatives.

Let me start with what I found genuinely interesting. The analysis in Section 3 showing that standard fine-tuned models systematically misbehave in their score assignments is convincing and I appreciated the empirical grounding for the ""misalignment"" framing. The extension to DPO, RRHF, and PRO showing that the constraint term matters for those methods too is probably the most interesting finding in the paper — it suggests something more general is going on. Table 3 shows these improvements are not trivial.

That said, I have several concerns. The constraint component (equation 4 or thereabouts) essentially acts as a regularizer to prevent score collapse, and honestly this reminds me a lot of margin-based ranking losses that have been around for a long time in learning-to-rank literature. I don't think the paper adequately situates itself against that literature. The novelty feels somewhat incremental to me.

The experimental setup also raises questions. The benchmarks used (GSM8K, AQuA, etc.) are reasonable, but I'd want to see more ablation on how sensitive the method is to the hyperparameter controlling the constraint bound. After reading the ablation section twice I still felt like this was underexplored. What happens at the extremes? The paper kind of glosses over this.

I'm also a bit skeptical of the framing around ""Assessment Misalignment"" as a newly discovered phenomenon. The problem of reward hacking and score miscalibration in RLHF-adjacent settings has been discussed extensively — Gao et al. 2022 on scaling laws for reward models comes to mind immediately. The paper doesn't engage with this connection seriously enough.

The writing is mostly clear but there are a few places where the notation gets sloppy — around equations 5 and 6 specifically I found myself re-reading to track what the score function was actually computing. Minor thing but it adds friction.

Overall: the paper has a valid observation and a reasonable solution, the empirical results are decent, and the finding about the constraint term generalizing to other methods is interesting. But the novelty is modest, the theoretical justification is thin, and the related work engagement could be stronger. I'm on the fence about acceptance. If the authors could strengthen the connection to ranking literature and provide more thorough ablations on the constraint hyperparameter, I'd feel better about it.",1,adversarial_bedrock_claude,z7usV2BlEE,0.1,0.25,0.35,0.3,0.2,0.4,0.05,0.15
"This paper tackles an interesting and practical problem — imitation learning from noisy/suboptimal demonstrations — and the core idea of using MAML-style fast adaptation to assess demonstration suitability is reasonably intuitive. I've seen a fair bit of work in this space over the past few years (DAgger variants, GAIL with reward shaping, etc.) and the meta-learning angle is at least somewhat novel.

That said, I have significant concerns about the paper in its current form.

The framing in the abstract and intro is a bit misleading. The authors claim prior work ""often assumes optimality of demonstrations"" which is increasingly less true — there's a substantial body of work on learning from suboptimal demos (T-REX, D-REX, SSRR, etc.) and the related work section doesn't engage seriously enough with these methods. After reading this twice I'm still not convinced the authors have made a compelling case for why their approach is preferable to, say, learning a reward function from ranked demonstrations. The comparison baselines in Table 1 feel a bit cherry-picked and I'd want to see T-REX at minimum included.

The technical contribution itself — using MAML adaptation performance as a proxy for demonstration suitability — is the right idea but the justification is thin. Why should fast adaptability correlate with ""suitability""? A demonstration could be highly suboptimal but still easy to imitate quickly. The authors gesture at this in Section 4 but never really resolve it. I might be wrong but I think this conflation of ""easy to imitate"" with ""worth imitating"" is a fundamental issue that weakens the theoretical grounding considerably.

Experiments are on a somewhat narrow set of tasks. The MuJoCo locomotion results look decent but the noise injection methodology (Section 5.1, the bit about randomly replacing demonstrations) feels artificial. Real-world noisy demo sets don't look like that. I'd find experiments on something like the D4RL datasets far more convincing and relevant to practitioners.

Figure 3 is hard to read — the color coding between methods is confusing and the caption doesn't help. I had to spend an embarrassing amount of time figuring out what I was looking at.

One more thing: the writing needs work. There are grammatical issues throughout (""whether imitating it produce"" in the abstract itself!) and some sentences in Section 3 are genuinely hard to parse. This isn't a minor issue — if the camera-ready version looks like this it reflects poorly on the venue.

To be clear, I don't think the paper is without merit. The idea is worth pursuing and some of the qualitative results are suggestive. But in its current state it feels undercooked. The theoretical motivation needs strengthening, the baselines need expanding, and the writing needs a thorough pass. I lean toward rejection but would be open to revision if the authors can seriously address the baseline comparisons and the core conceptual issue I raised above.",1,adversarial_bedrock_claude,rkxkHnA5tX,0.05,0.2,0.25,0.3,0.15,0.35,0.05,0.1
"This paper tackles an interesting angle on open-set recognition by examining unified OSR (UOSR), specifically the role of wrongly-classified known samples. The core observation — that misclassified known samples have uncertainty distributions resembling unknown samples — is genuinely interesting and I think underappreciated in the literature. That said, I have significant concerns about the depth and novelty of the contributions here.

Let me start with what I found compelling. The empirical finding that existing OSR methods are ""accidentally"" well-suited for UOSR (Section 3, roughly pages 4-5) is actually a nice result, and the explanation via the uncertainty distribution of wrongly-classified samples makes intuitive sense. This is the kind of insight that could reshape how people think about evaluating OSR systems. I appreciate that the authors ground this in multiple baselines rather than cherry-picking one method to make their point.

However, the paper's actual technical contribution feels thin to me. FS-KNNS (few-shot KNNS) is basically a nearest-neighbor matching approach with few-shot reference samples — after reading this twice, I'm still not convinced this is substantially different from what you'd get by just applying standard KNNS or similar density estimation methods in a few-shot regime. The ablations in Table 3 help somewhat but don't fully address my skepticism. What's the theoretical justification for why this particular approach works? The paper reads more like an empirical study with a small method tacked on at the end.

The few-shot UOSR setting itself is interesting but I'm not entirely sure the motivation is well-developed. Why specifically 1 or 5 shots? Is there a principled reason, or is this just following few-shot learning convention? In my experience, evaluation protocols need stronger justification when they're being proposed as new benchmarks.

My bigger concern is about the outlier exposure finding (Section 4.2) — the claim that OE helps for known-vs-unknown but not for wrongly-classified identification. This is presented somewhat casually but it's actually a pretty strong claim with real implications. I'd want to see this analyzed more carefully. Is this robust across different OE datasets? The current experiments feel insufficient to support such a broad conclusion.

Writing quality is decent but uneven. Some sections are crisp, others get a bit muddled — the formalization of UOSR in Section 2 took me longer to parse than it should have.

Overall, I think there's a real paper buried here, but in its current form the contributions don't quite cohere. The empirical observations are the genuine contribution; the method and the new evaluation setting feel somewhat bolted on. I'd encourage the authors to either lean harder into this being a position/analysis paper, or develop FS-KNNS more rigorously. As it stands, borderline reject from me — the findings are interesting enough that I'd encourage revision rather than outright rejection.",1,adversarial_bedrock_claude,xLr0I_xYGAs,0.1,0.2,0.35,0.3,0.2,0.45,0.05,0.15
"This paper tackles an interesting and timely question — can LLMs actually critique well, and what does that even mean rigorously? The topic is clearly relevant given the growing use of LLMs as evaluators and the broader interest in self-improvement paradigms. I appreciate the effort to build a benchmark here.

That said, I have some significant concerns after reading this carefully.

The benchmark construction methodology feels underspecified. Section 3 (if I'm reading the right section) describes the data collection process, but I came away unclear on exactly how the ""correctness"" annotations were obtained and what the inter-annotator agreement looked like. For a benchmark paper, this is pretty fundamental. 3K examples across math, code, and QA feels thin to me, especially when you're making broad claims about critique ability ""emerging"" at scale. The statistical power to support such claims seems questionable.

On the findings themselves — finding (1) about critique being difficult and scale-dependent is honestly not surprising at all. This aligns with what we've seen in chain-of-thought reasoning literature (Wei et al., Kojima et al., etc.). I think the authors need to position this more carefully as a confirmation/quantification rather than a discovery. Finding (3) about uncertainty correlating with poor critique is interesting but I felt it was underdeveloped. I wanted to see this explored more rigorously.

The self-check baseline is cute but I'm skeptical of the framing as a ""simple yet effective baseline."" Looking at the actual numbers in Table 2 (I think?), the improvements are modest in some settings and the variance seems high. I'd want ablations here. Also, I might be wrong but there seems to be some circularity in using a model's self-critique to improve its own performance — the cases where self-critique is most reliable are probably already the easier cases, which inflates the apparent benefit.

A more fundamental issue: the paper doesn't clearly distinguish between different types of critique. Identifying that an answer is wrong is quite different from identifying *why* it's wrong and providing actionable feedback. The framework conflates these, which I think weakens the contribution. In my experience reviewing related work, this distinction matters enormously for downstream applications like RLHF or self-play training.

The related work section misses some relevant citations — particularly work on Constitutional AI and various self-refinement papers that are directly relevant to the self-critique angle.

Writing is generally clear though there are grammatical hiccups throughout. Figure 1 is helpful for orientation.

Overall, this feels like work that's in the right direction but needs another revision cycle. The benchmark itself could be a solid contribution if the methodology were tightened up considerably, but right now I can't confidently assess its validity. I lean toward rejection with encouragement to resubmit with stronger experimental controls and clearer theoretical framing of what critique actually means in this context.",1,adversarial_bedrock_claude,50P9TDPEsh,0.1,0.25,0.2,0.3,0.2,0.35,0.05,0.1
"This paper tackles online convex optimization with predictions, combining acceleration via inexact gradient oracles with the ""predictions"" framework popularized by several works following Rakhlin & Sridharan and the more direct lineage through Li & Li (2020). The core contribution is showing that accelerated gradient descent can be applied in this setting, achieving a contraction factor of $(1 - O(\sqrt{\kappa}))^{k/(a+b)}$ rather than the $(1-\kappa/4)^k$ from Li & Li. On paper this looks like a clean improvement.

But I have significant reservations about the paper as it stands.

The ""general recipe to run synchronous update in an asynchronous fashion"" — described around Section 3 if I'm reading this right — feels underexplained. After reading this twice I still wasn't entirely sure what the mechanism is at an intuitive level. The authors spend a lot of space on the formal setup but the key insight that makes the asynchronous execution work gets buried. I think the paper would be substantially stronger if this were front-loaded with a cleaner explanation, maybe with a small example showing what happens at a single time step. Figure 1 (if I'm recalling correctly) is... okay, but doesn't really do the work it needs to do.

The comparison to Li & Li (2020) is the main selling point, and I'm broadly convinced the factor improvement is real. However, I'm not 100% sure the comparison is entirely apples-to-apples given the different assumptions on the coupled cost structure. The $a+b$ term in the exponent matters a lot in practice, and for large $a+b$ the improvement could actually vanish or reverse depending on the regime. I would have liked to see a more careful numerical comparison — even a simple plot showing the contraction factors as a function of $\kappa$ and $k/(a+b)$ would clarify when this actually helps.

The $O(1/k^2)$ result without strong convexity is advertised prominently in the abstract and I think it deserves more attention in the body. As written it feels like an afterthought in Section 5 or wherever it appears. In my experience, results that relax strong convexity are often more practically relevant than the strongly convex case, so the presentation priority seems inverted.

On the technical side: the reliance on inexact first-order oracle results (citing standard references) is fine, but I'd want to see more discussion of whether the inexactness model here actually matches what you get from prediction errors. This seems nontrivial and I didn't find a satisfying treatment.

Minor stuff: notation is occasionally inconsistent between sections, and a few of the longer proofs in the appendix have steps that skip more than I'd like.

Overall: the result is interesting and the direction is worth pursuing, but the exposition needs substantial work and some of the claimed comparisons need more careful treatment. I lean toward rejection in the current form, but I think a revised version could be competitive.",1,adversarial_bedrock_claude,Rdb0HxGJa3,0.1,0.15,0.25,0.3,0.15,0.4,0.05,0.1
"This paper proposes INPO, an online RLHF method grounded in game theory that tries to approximate the Nash equilibrium policy under general preference models. The motivation is solid — the BT model assumption is indeed limiting, and there's been growing interest in preference-based RL methods that don't require an explicit reward model. I've read several papers in this space (SPO, Nash-MD, various IPO variants) and I think the framing here is legitimate.

That said, I have some real concerns.

The theoretical contribution feels incremental to me. After reading Section 4 twice, the no-regret argument basically follows standard online learning machinery, and the connection to Nash equilibrium approximation isn't substantially different from what's already in Nash-MD or related work. I'm not saying it's wrong — the analysis looks correct — but I'd want the authors to be more explicit about exactly what's novel in Theorem 1 versus what's inherited from prior work. The proof sketch in the appendix doesn't help clarify this.

The empirical results are actually pretty strong. 42.6% LC win rate on AlpacaEval 2.0 with LLaMA-3-8B is genuinely impressive, and Table 2 shows consistent gains over baselines like RAFT and online DPO. I appreciate that they include Arena-Hard which is a harder benchmark to game. My concern is the comparison isn't entirely apples-to-apples — some baselines use different data mixtures or training compute budgets, and I couldn't find a clear statement about this in Section 5. How many gradient steps total? Same number of preference annotations collected online? This matters a lot for fairness.

I found Figure 3 confusing on first pass. The caption says it's showing ""convergence behavior"" but it's not obvious what quantity is on the y-axis until you dig into the text. Please fix this.

One thing that genuinely bothers me: the paper claims to ""bypass the need for estimating expected win rates"" as a key advantage, but the online data collection still requires pairwise comparisons from a reward model or human annotations. So you're not really escaping the annotation cost — you're just restructuring where it appears. I might be wrong about how they're collecting feedback in the experiments (the description around line 312 is vague), but this needs clarification because it affects the computational cost claims in the abstract.

The related work section is decent but undersells the connection to SPPO — the differences should be articulated more carefully since SPPO also uses a self-play style update.

Overall: I think this is a solid paper with good empirical results and reasonable theory, but currently oversells its novelty and has some methodological transparency issues around the experimental setup. I'm leaning weak accept, but the authors need to tighten the claims and clarify the experimental details. Not asking for new experiments, just honesty about what's being compared.",1,adversarial_bedrock_claude,Pujt3ADZgI,0.1,0.15,0.3,0.35,0.2,0.3,0.05,0.1
"This paper proposes combining gradient boosting with meta-learning (specifically MAML-style meta-optimization) to handle multi-modal task distributions. The core idea is to use a base learner for shared initialization and then stack boosted modules to capture task-specific variation. I've reviewed a fair amount of meta-learning work over the years, and while this combination sounds appealing on paper, I have several concerns after reading this twice.

The motivation is reasonable — multi-modal task distributions are genuinely a problem for MAML-style approaches, and prior work like MMAML and HSML has tackled this. My first concern is that the paper doesn't sufficiently differentiate itself from MMAML and related mixture-of-experts approaches. The authors claim gradient boosting provides a distinct advantage, but I'm not convinced the theoretical justification in Section 3 is tight enough to support this claim. The analogy to classical gradient boosting feels somewhat forced — in standard boosting you're fitting residuals of a loss function over data points, whereas here the ""boosting"" operates over task-specific adaptation steps. The connection is intuitive but I think the math in equations 4-6 glosses over whether this is truly analogous in any meaningful sense.

The experiments are my bigger concern. The benchmark tasks used (sinusoid regression variants and a few classification tasks) feel cherry-picked for multi-modal settings that the method is explicitly designed for. I'd want to see performance on standard single-modal benchmarks too — does the extra complexity hurt in the simple case? Table 2 shows improvements over baselines but the margins on some classification tasks are quite small (within what I'd estimate is noise, though confidence intervals aren't consistently reported). Actually, the inconsistent reporting of variance across tables is a real problem — Table 1 has standard deviations but Table 3 doesn't? That's sloppy.

I also think the ablation study (Section 5.3 I think) is insufficient. How sensitive is the method to the number of boosting modules? This seems like a critical hyperparameter that deserves more analysis. One plot with three data points isn't convincing.

The writing is okay but not great — there are several places where the notation is introduced inconsistently and I had to backtrack. Figure 2 is helpful but the caption is too sparse to be self-contained.

In my experience, papers that combine two established techniques need to work harder to show the combination is more than the sum of its parts. I'm not fully convinced here. The idea isn't bad — I think there's something real being explored — but in its current form the empirical validation is too narrow and the theoretical grounding is underdeveloped. I'd encourage a major revision with stronger baselines, more comprehensive experiments, and a cleaner theoretical narrative. Not ready for acceptance in this form.",1,adversarial_bedrock_claude,QcqsxI6rKDs,0.05,0.25,0.2,0.3,0.15,0.3,0.05,0.1
"This paper tackles an interesting and practically relevant problem — getting DNNs to run on severely memory-constrained microcontrollers — and the general direction of fine-grained operator scheduling is sensible. I've seen a lot of work in this space over the past few years (e.g., MCUNet, TFLM, Neurosurgeon-type approaches), and there is genuine value in pushing memory reduction further without blowing up latency.

That said, I have significant concerns about this submission.

The core technical contribution — the Axis Connecting Graph (ACG) — is described in a way that I found genuinely hard to follow, even after reading Section 3 twice. The formalization around equations 2-4 is dense and the running example in Figure 3 doesn't do enough to build intuition before dumping notation on the reader. I'm not saying the idea is wrong, but I couldn't convince myself I fully understood the construction. This needs a cleaner exposition.

The comparison to state-of-the-art is where I have my sharpest concerns. The claim of ""up to 80% peak memory reduction"" sounds impressive, but ""up to"" is doing a lot of heavy lifting here. Looking at Table 2, the improvements are not consistently that dramatic across all networks and baselines — some entries show much more modest gains. I'd want to see a more honest summary statistic, maybe median reduction, rather than cherry-picking the best case. Also, the baseline selection feels incomplete. Where is the comparison to Mosaic (or similar tiling-based approaches)? I might be wrong about availability, but I think there are relevant concurrent works that aren't discussed.

The latency overhead claim of ""nearly no latency overhead"" — what does that mean exactly? Table 3 shows overheads ranging from what looks like 2% to over 12% in some configurations. 12% is not nothing on a latency-sensitive edge device. I think the authors are being a bit loose with language here and it undermines the credibility of the stronger claims.

On the experimental side: which hardware targets were used? I see mentions of Cortex-M series but the specific device specs and memory configurations aren't clearly stated until fairly late in the paper, and even then I wasn't sure which results correspond to which device. This makes reproducibility difficult.

I also think the algorithm complexity analysis in Section 4.3 is hand-wavy. The authors claim the search is efficient but I don't see a rigorous worst-case bound, just empirical runtime numbers. In my experience, for irregular network topologies this kind of greedy search can behave quite badly.

Overall, the problem is real and the paper has a kernel of a good idea. But the writing clarity, baseline comparisons, and somewhat overclaimed results need substantial work before this is ready. I lean toward rejection in the current form, though I'd encourage resubmission after a thorough revision. The authors clearly know this problem space well — the paper just isn't there yet.",1,adversarial_bedrock_claude,s4It8EZf77,0.1,0.2,0.3,0.35,0.15,0.3,0.05,0.1
"This paper tackles an interesting problem — the numerical instability of Stein mixture inference as proposed by Nalisnick et al. — and offers a reasonable fix by connecting the original objective to the Rényi α-divergence family and advocating for α=1 (the ELBO). I think the core observation is genuinely useful, and the NumPyro implementation is a practical contribution. That said, I have significant concerns about the depth of the theoretical analysis and the strength of the empirical validation.

The key claim (section 3, if I'm reading this right) that the original Nalisnick et al. objective corresponds to Rényi divergence with α=0 is the theoretical heart of the paper. After reading this twice I'm still not fully convinced the derivation is airtight — specifically around equation (4) or thereabouts, the approximations made when going from the mixture objective to the α=0 case feel somewhat hand-wavy. I might be wrong, but I'd want to see a more careful treatment of when this equivalence holds exactly versus approximately.

My bigger concern is empirical. The experiments feel thin for a paper making fairly strong claims about ""significantly improved results."" What benchmarks are these, exactly? The real-world problems mentioned in the abstract are presented without much justification for why they were chosen, and I didn't see systematic ablations over particle count, dimensionality, or model complexity. The instability of the original algorithm is demonstrated, which is good, but the comparison feels cherry-picked in places. In my experience reviewing variational inference papers, you really need to show behavior across a range of posterior geometries — multimodal, high-dimensional, etc. — before making broad claims.

I also think the paper undersells (or maybe just underexplores) the relationship to other mixture variational inference approaches. Locatello et al., Morningstar et al. on resampled variational inference, even recent work on boosting VI — these all feel relevant and some aren't cited. The novelty relative to simply ""run ELBO-based VI with a mixture approximation"" needs to be articulated more sharply. What does the Stein particle structure actually buy you here over, say, a standard mixture of Gaussians with amortized inference?

The writing is generally clear and I appreciate the straightforward framing, but the paper reads more like a workshop contribution than a full conference paper right now. The ""black-box implementation in NumPyro"" contribution, while nice, feels like it belongs in a footnote rather than being listed as a primary selling point in the abstract.

Short version: interesting observation, real practical value, but the theoretical justification needs tightening and the experiments need to be substantially expanded before this is ready. I'd encourage the authors to resubmit after addressing these points — there's a decent paper in here.",1,adversarial_bedrock_claude,gRgCyyYBR4o,0.05,0.2,0.3,0.35,0.2,0.45,0.05,0.1
"This paper tackles an interesting problem — reducing sensitivity to superficial lexical cues in NLI — and the motivation from FOL-based meaning representation is at least novel-sounding. However, after reading this twice, I have serious concerns about both the clarity of the technical contribution and the experimental validation.

The core idea, as far as I can tell, is to identify ""superficial"" words (those that don't affect inference semantics) and project their representations out of the final encoding. The FOL framing in Section 3 is supposed to provide formal grounding for this, but I found it genuinely confusing. The connection between the FOL explanation and the two ""inductive biases"" feels hand-wavy — I kept waiting for a crisp theorem or at least a clean proposition that says ""words satisfying property X should be projected out"" and never got one. Equation (4) just kind of appears without sufficient justification for why orthogonal projection is the right operation here as opposed to, say, gating or attention-based suppression.

The experimental results in Table 2 show improvements on HANS and a few stress tests, which is good. But I'm skeptical of some of the comparisons. Several strong baselines from 2022-2023 that explicitly address NLI artifacts (e.g., work on counterfactual data augmentation, ensemble-based debiasing methods) are missing. The authors compare against some older debiasing approaches but the field has moved quickly. I might be wrong, but I think the improvements would look less impressive against more recent baselines.

Figure 3 is supposed to illustrate which words get identified as superficial, but the examples chosen feel cherry-picked. I'd want to see failure cases — when does the method incorrectly project out semantically important words? This analysis is completely absent and it's a real gap.

The abstract promises ""substantial improvements over extensive experiments"" which is, frankly, overselling it. The gains on MNLI matched (in-distribution) are marginal, and robustness improvements on some out-of-distribution sets are modest at best. ""Substantial"" is doing a lot of work here.

One more thing that bothered me: the writeup is rough in places. There are grammatical issues throughout (e.g., line 247, line 389) that made reading harder than it should be. This isn't a fatal flaw but suggests the paper was rushed.

I think there's a genuine idea buried here, and the FOL motivation is at least an interesting angle that distinguishes this from pure artifact-mitigation work. But the theoretical justification needs to be tightened considerably, the experimental comparison needs updating, and the analysis of when/why the method fails is sorely needed. In my experience, papers that project out certain feature directions in NLP can be quite sensitive to how those directions are estimated, and I saw almost no ablation on this sensitivity. That needs to be addressed before this is ready for publication.

I lean toward rejection but would be willing to reconsider with major revisions.",1,adversarial_bedrock_claude,HkxQzlHFPr,0.05,0.2,0.2,0.25,0.15,0.3,0.05,0.1
"This paper proposes ""conscious inference,"" an iterative top-down/bottom-up mechanism applied at test time to improve CNN-based object detectors without retraining. The core idea is interesting — using accumulated category-specific activations to iteratively refine feature representations and ultimately proposal generation. I appreciate that the method requires no retraining and no ground truth at test time, which is a genuinely useful property.

That said, I have significant concerns about the paper as presented.

The motivation via ""human consciousness"" models feels like overreach to me. I've seen many papers invoke neuroscience/cognitive science loosely to dress up what is essentially a fairly straightforward iterative refinement scheme, and this paper falls into that trap. The connection to Global Workspace Theory and related consciousness literature is superficial — it doesn't actually constrain or justify the specific design choices made. Why these particular update equations? The link feels post-hoc. I'd actually find this more convincing if the authors just presented it as ""iterative feature refinement with top-down feedback"" and dropped the consciousness framing entirely.

On the technical side — looking at Section 3 and the update equations (around Eq. 3-5 if I recall correctly), I found the description of how features are actually updated somewhat hard to follow after reading it twice. The notation gets muddled. Specifically, I'm not entirely sure how the ""top-down pass"" interacts with intermediate feature maps in YOLOv2 vs. Faster-RCNN — these have quite different architectures and the paper seems to gloss over the implementation differences. This needs to be much clearer.

The experimental results in Table 2 and Table 3 show modest but real improvements on PASCAL VOC and some pose estimation benchmarks. I'm not dismissing these gains, but they're generally in the 0.5-1.5 mAP range for the detection experiments, and I'd want to see much more analysis of *when* and *why* the method helps. Does it help more for small objects? For crowded scenes? The ablation studies feel thin. Also — and this bothers me — there's no runtime analysis beyond a cursory mention. If you're running 3-5 inference iterations, what's the actual wall-clock cost? This matters enormously for practical use.

The 6D pose estimation results are interesting and somewhat unexpected — I'd actually argue this is the more compelling application, but it gets less space than it deserves.

One more thing: the comparison baselines are getting dated. YOLOv2/v3 and Faster-RCNN were state of the art a few years ago, and the field has moved substantially. I'm not sure how well this method would transfer to transformer-based detectors, and that question isn't addressed at all.

Overall, I think there's a real idea buried here that's worth developing, but the paper needs cleaner technical exposition, stronger ablations, runtime analysis, and honestly a more grounded framing. In its current state I can't recommend acceptance.",1,adversarial_bedrock_claude,HygYqs0qKX,0.1,0.2,0.3,0.25,0.15,0.25,0.05,0.1
